#00xx: Singles

#0000: Full House

#0001: Last Digit

#0002: Hidden Single

#0003: Naked Single

#01xx: Intersections
#0100: Locked Candidate Type 1
........9.6....3..2.4....7...937.5.1.....2..3...15.7....1.24.....8.3.6...4.5..... # lc1(3) s
....2.3.5.9...7..44.....8.9.7214......5.63.4.....8......1576...6.....5.3......... # lc1(3) s
............24.193...138..2.2......871.5...........45.5...167..9.......5......9.. # s lc1(6) s
34...6.7..8....93...2....6.....1.....97...85......2...............6.8.9....923785 # s lc1(6) s
.237...1.....8...........69.45.1....6............47.3.1.6..957..........35...418. # s lc1(6) s
...625.89............18.27..4..1.5...13..26...6.......3.97...5......3..77.......2 # s lc1(5) s
....32...........2.4.1..9......5.......2.16.....8.619427.....3..1.69..8...6...5.. # s lc1(5) s
........7...7562.3....894..5.4.......9..1.....3.2.41...294.8.5.7.....6..........9 # s lc1(5) s
..9...7.........921..34...8825.91.............1..72..........85..3...6.9654...... # s lc1(5) s
.....4...9..............285..41.5..6.......9...5.76.1.7....3..4.8.5..6.3...9...7. # s lc1(5) s
...2...1.........9....6.3...37..98...1..42.....4.7.1959.2.......81..7..3.4......2 # s lc1(5) s
984.........5...4.........2..6.972....3..2..........1...5.6...34.7.5189..3...97.. # s lc1(1) s
4.35.9.....8..6..........42...1.34..........7.8..723.18.5......12..9..7..76...5.. # s lc1(1) s
17.....6.63...8...5.......88...53.79.....7...9.......5.9..2.....6.9..2..3.....1.. # s lc1(1) s

#0101: Locked Candidate Type 2
...26.8.......7...........7.7.....9...4..9.162..1..574..748...1.36....5..1.69.... # s lc2(6) s
.1.......3...68........3..7692..7..55..6..4.8..83..7.....2.5143....9.6........... # s lc2(6) s
..........7....896..1....4........1......956..8231......9...4..25.1......4.75.3.. # s lc2(6) s
1.956...86.........4........6..49..3....57.9.......4.2..19368..253..............1 # s lc2(6) s
.62..8..19.......6.......8.478...........9.73......42...5..1.....768.3......327.8 # s lc2(6) s
....31.....57...34....4...........5..97..26.8..4.9...3359.2..7...6917..........6. # s lc2(6) s
.............4...6.....35...5..3....1....5..86.3912...5.....89....791.3..372..... # s lc2(6) s
3....2.4..6.5......526.493..7....2141........62............9........5.7...841..26 # s lc2(6) s
..614..9849...3...1..8......7..65.......9.1..6................6....3.2.58.....71. # s lc2(1) s
.1....4.....6.3.....6.8...38..95.1...2.4...58795.........5..7.......7.......3.641 # s lc2(1) s

#0110: Locked Pair
6.......8..2....7.94.........15.98..79....5.2.....4..916...5.2......2..5..3961... # l2(10) s
9862.......4...8...5......2.6..37.....51..29.1..4...3......3.2.57....6........15. # l2(8) s
97.5...6......71.38...4........8.9..685......1....3..2............6...57..8.9.2.. # l2(4) s
8..21...7.4..891......4........98..5.9..3......7..14.9...........3...2542.......8 # s l2(18) s
12..386.......7.8............7.........3.14...4....2956....432...........8..23.46 # s l2(18) s
.....62....27.3..93.........49....1...7...9.856....3.2.1397.4...7.31............. # s l2(17) s
.3..4...8..59.....2..536..9.6...........85.........763.19....363..4...91......... # s l2(17) s
................464.6....95.2...5..1...91.73...73.....7.543........7.3.9..91..... # s l2(17) s
...7.....9....6..4.2..95.........84...92..6.7.8.9....5..4.....8.3......6.1...87.. # s l2(16) s
........5.7.65.....1...276...6.9.3.88.47....15378..6...63..................4.8... # s l2(16) s
..9.8.........2..8.1.63.......7...243....6...24.....91.5..7...3.....18.9.......42 # s l2(16) s
.1.9..2......8.5..7.5..46..........63........96....37.2.71....3.8.65....6....9... # s l2(15) s
..5..8..289.1.......6..4..74.98.3...........6.5..6.8...846......1.5....4.......7. # s l2(15) s
.1763........19.6...4..5.2.9...2.61.4...........5...8.1.3................651..3.4 # s l2(15) s
..3..289.........77..9...6.....1...5.94...27.3...9.........17.......4159.2.5....4 # s l2(15) s
97...62....2..3.1543.....6..46...........2......3...7415..8.4.....6...3.2....4.5. # s l2(15) s
..432..68.2.65..............1...2.....68.13...37...8..3.........62...18998.....5. # s l2(14) s
2.5..9874..8.....2.......9....41..2.68..5...9...9.643.139.47.....75.............. # s l2(14) s
.1.57.4..7.21..6..........5.....1..........2..7562.39.2........569214....4.7..... # s l2(14) s
.29..37.5.651............1..12.8....3.........5.9.1..35.8............5......42.97 # s l2(14) s
.5..346..........8.3.879....15.....6...26..5.......92..4..27.13.73...........87.. # s l2(2) s
....76.8.6...........931.2..2......887.4.9.....481.6.9.19..4..27.5............... # s l2(1) s
...5..8.43.....21..9.......9.7..6....1....3......27...1.......7...248.9...5.9.... # s l2(1) s

#0111: Locked Triple
....4.3...8...1429..15......76.....8.....2.....9.5..7...8......3.........9.1.863. # l3(12) s
8..3......1..4..7...57..62..49..6.8.....2....3....4...........1..69..8....1..59.. # l3(11) s
4..5..37.32......4.6.......8....2.3.21.84...........9..7..9.1...4.651.......7.... # s l3(18) s
...........1....4362........3...45...4...7..2..7..14....3.6..2.9...52..1...7.8.59 # s l3(16) s
9.45...2..6...2......86.......6.97.......75........3....5426..33......6.1.....9.5 # s l3(15) s
....4..1672.........8.......942.....87....3.1.......8....62..5.3....716....8...47 # s l3(15) s
.....2.6..8....791.1...6............82.6........27415...4...8.9.7...92.3....3.... # s l3(15) s
......6......67..4.3...2.1.......8.5..5....6........97.783.....1..8....9543.76.8. # s l3(15) s
....1........6...916..5.4.3.1...6.9.2.38...749.....8.....2.758.52................ # s l3(14) s
.......5..2..34..9....653713.69.1..........1..9168.........9.63754............7.. # s l3(14) s
7.4.......5.4.326..6..1...............6.32.........789.....53..8...9......2...948 # s l3(14) s
....5..3774....8......3....5.1.....9..6..7.23.38.19......6....2.....235...9...... # s l3(2) s
.....4.259.1..374..........6...7.49....93.51...8........3...1.24..7.2............ # s l3(2) s
7..61584....498.................2...4.....7185.6.3..............3..6...2954....3. # s l3(2) s

#0120: Almost Locked Candidates

#02xx: Subsets
#0200: Naked Pair
98...6..537..5.1.....7...6..6.34...8.........72.....9....2.57................862. # s n2(14) s
..7..4.2......26...4..56.7831.....4..6....3..........1.96..1...2......57.......6. # s n2(12) s
8...5.7.9.34....8.9..8...5...813..4...9...2.5.269......4.7........68............. # s n2(11) s
.1.76.5..876.1......5.............9.4....6....27.....5...8....62......81.5.129... # s n2(9) s
...2539..2....4.7............1............83.59....4......8.71..89..7.4...31....2 # s n2(9) s
8..61.....2.4..5.15...8......8...1.764.........75.39.........9.......3.......8675 # s n2(9) s
.3..6.4........5.........16..6.1.78.5.17.....9.2.....5...3.7...6....1..2.5.4..8.1 # s n2(9) s
7243...1...5.........7.......1.2..34...1.3.7.5.....6..4.2.......7......218.5...4. # s n2(8) s
..5.2.98..41...5...9...342...8...3673....81.5...........7.86...............74.... # s n2(8) s
27........8..1...6...8.3.....9.3451.1...5.....4....7...2.5....1.....9.72...6..4.. # s n2(8) s
.......56623..7....7.1..8.....518..........7.....4..1..42..65..817........69...2. # s n2(8) s
5....4..29.17......3..964...579......69..875............2..5.38...8.........4.6.. # s n2(8) s
......23...6..4...4.......9....5..4..3.7.1..5..26..1.89.1...382.....7.....8....7. # s n2(8) s
.....7..2......1.3.3.21.98.....24.1...7.9..3.692...8..84.........9..84..3........ # s n2(8) s
.164..........23..........5.7.....2.3.2...6........8511.........9372...6..7.615.4 # s n2(8) s
7....9.3....1.5..64..26...9..2.83951..7........56.............31......6......4.1. # s n2(1) s
987.....15.......8....6....6..3.42.............2..745..9....8..258....1..7.6....3 # s n2(1) s
....7..4.....4.1..1....2....5..3.9..9......24......3...3.8...9.8.52.4..669...1... # s n2(1) s
............58...9...1.3..7....4..21..43......5...76..1.7..4..5.4....1....36.94.. # s n2(14) n2(2) s

#0201: Naked Triple
39.............65...7...349..938...6....54...853.........8..1....294..6.4.......7 # s n3(15) s
7..14.5...............57.84.4..9..65...48....1.8.....735...47..........1..157..2. # s n3(14) s
...1.9.5........76..57...194....3...16.....9..57..4........5..12.4391..7....4.... # s n3(13) s
9.271...6.........6.59.............2..8.2.17........6..7..4..3...6..15....9..58.1 # s n3(12) s
.........7.32..5..2..41.7......6.1.35..3..6.8...........18..3.93.275...4..7...... # s n3(11) s
9..7.........639..48692...71..39..84.6.84...3.........3...1.......2..3....7....52 # s n3(10) s
.........3..5.9.48..96....1.........46.....35.751.2.....72....4.....3....5..761.. # s n3(9) s
...8..1..41...5.939............6......5.2.9........24679...8...6......7..8.....52 # s n3(9) s
4.....7.1....84........3..9.9.......12..7.3.....315.......5.9..7.2..6.8..18...... # s n3(8) s
.96.3......19...23...7..........7.1.....8.......6.135...8.......35426..8.6.85..72 # s n3(8) s
....8..57.6.379....2..........7..........4596.329...4...645.32..................8 # s n3(8) s
..19...58.6.......2.3...4..8......659..635.4......2...63...1...1.5376.......4.... # s n3(8) s
